RIDE_DATE,N_TOTAL,N_BAD,BAD_RATE
2022-04-09,1344,1094,0.813988
2022-05-26,1482,1034,0.697706
2022-02-21,962,367,0.381497
2022-03-15,918,692,0.753813
2022-04-14,1336,1042,0.779940
2022-03-25,1185,875,0.738397
2022-06-24,1569,0,0.000000
2022-02-28,944,666,0.705508
2022-03-01,984,765,0.777439
2022-04-27,1177,783,0.665251
2022-05-13,1664,1306,0.784856
2022-03-12,1028,776,0.754864
2022-02-11,1053,713,0.677113
2022-05-18,1425,1094,0.767719
2022-05-15,2067,1692,0.818578
2022-05-31,1240,826,0.666129
2022-05-23,1459,1123,0.769705
2022-06-17,1984,1268,0.639113
2022-06-18,1752,1113,0.635274
2022-03-19,1191,882,0.740554
2022-02-22,1062,739,0.695857
2022-04-04,900,660,0.733333
2022-03-02,990,731,0.738384
2022-04-29,1455,1038,0.713402
2022-03-08,922,692,0.750542
2022-03-22,886,641,0.723476
2022-02-12,1133,429,0.378641
2022-03-26,1302,1020,0.783410
2022-05-22,1937,1527,0.788332
2022-05-21,2171,1647,0.758637
2022-02-26,1345,1075,0.799257
2022-03-24,959,707,0.737226
2022-04-03,971,766,0.788877
2022-03-20,876,636,0.726027
2022-04-10,1015,826,0.813793
2022-03-29,930,669,0.719355
2022-03-31,1016,733,0.721457
2022-05-16,1387,1104,0.795963
2022-04-01,1091,815,0.747021
2022-05-10,1366,1061,0.776720
2022-04-02,1142,921,0.806480
2022-05-01,1745,1434,0.821777
2022-03-27,1133,853,0.752868
2022-06-02,1221,960,0.786241
2022-05-24,1106,827,0.747740
2022-06-25,1680,0,0.000000
2022-04-18,1037,719,0.693346
2022-04-23,944,751,0.795551
2022-02-25,2059,1531,0.743565
2022-02-14,623,428,0.686998
2022-03-10,952,692,0.726891
2022-04-13,1346,1009,0.749629
2022-06-23,1633,0,0.000000
2022-04-17,1272,983,0.772799
2022-03-16,907,670,0.738699
2022-03-18,1140,841,0.737719
2022-04-06,1062,804,0.757062
2022-03-07,868,625,0.720046
2022-03-11,1043,763,0.731544
2022-04-08,1480,1121,0.757432
2022-02-09,615,235,0.382114
2022-05-02,1086,773,0.711786
2022-06-11,1924,1386,0.720374
2022-06-19,1579,1126,0.713110
2022-06-22,1352,73,0.053994
2022-04-26,830,542,0.653012
2022-06-04,1450,986,0.680000
2022-02-19,1062,316,0.297552
2022-05-07,1420,1157,0.814789
2022-05-20,2136,1624,0.760300
2022-06-07,1504,1121,0.745346
2022-02-18,1035,370,0.357488
2022-04-07,1170,882,0.753846
2022-03-04,1102,808,0.733212
2022-05-28,1665,1209,0.726126
2022-06-03,1129,830,0.735164
2022-04-19,976,685,0.701844
2022-04-24,1114,871,0.781867
2022-05-30,1160,814,0.701724
2022-03-14,771,559,0.725032
2022-05-11,1404,1120,0.797721
2022-04-12,1206,908,0.752902
2022-03-30,732,527,0.719945
2022-02-10,1001,275,0.274725
2022-05-17,1494,1177,0.787818
2022-05-25,1336,994,0.744012
2022-06-15,1617,1184,0.732220
2022-03-23,997,719,0.721163
2022-05-06,674,521,0.772997
2022-05-05,780,569,0.729487
2022-03-05,977,728,0.745138
2022-02-17,971,345,0.355304
2022-04-11,1028,764,0.743191
2022-03-28,937,695,0.741729
2022-05-03,1215,734,0.604115
2022-06-16,1646,1227,0.745443
2022-02-20,959,503,0.524505
2022-04-21,1008,733,0.727183
2022-02-24,1049,756,0.720686
2022-03-13,922,714,0.774403
2022-02-15,671,167,0.248882
2022-02-16,904,256,0.283186
2022-06-12,1584,1216,0.767677
2022-06-20,1461,944,0.646133
2022-06-08,1614,1207,0.747831
2022-05-09,1160,900,0.775862
2022-06-05,1235,893,0.723077
2022-06-06,1510,1077,0.713245
2022-04-22,1192,808,0.677852
2022-04-28,1213,935,0.770816
2022-03-03,1068,778,0.728464
2022-05-14,2109,1695,0.803698
2022-04-30,1637,1211,0.739768
2022-05-04,1377,1014,0.736383
2022-05-29,1073,749,0.698043
2022-06-01,1419,1079,0.760395
2022-05-27,1887,1381,0.731849
2022-04-15,1313,988,0.752475
2022-04-20,1042,656,0.629559
2022-04-25,782,524,0.670077
2022-02-01,379,281,0.741425
2022-01-31,353,254,0.719547
2022-03-21,816,598,0.732843
2022-05-19,1530,1138,0.743791
2022-06-10,1815,1249,0.688154
2022-06-09,1738,1167,0.671461
2022-03-17,981,694,0.707441
2022-04-05,1009,777,0.770069
2022-05-12,1441,1157,0.802915
2022-03-09,903,634,0.702104
2022-03-06,834,646,0.774580
2022-05-08,1365,1089,0.797802
2022-06-14,1462,1005,0.687415
2022-06-13,1397,946,0.677165
2022-06-21,1398,995,0.711731
2022-04-16,1374,1059,0.770742
2022-02-23,1055,780,0.739336
2022-02-27,1064,772,0.725564
2022-02-13,884,260,0.294118
